a doppio senso,双行道
segnarare ,信号
seguono ,尾随追随
semaforo ,红绿灯
serbatoi ,邮箱
serve ,服务用于
servire ,服务
servire ,服务
servosterzo ,方向盘助力
sgonfiano ,缩小
Si deve regolare la velocit,必
siccome ,由于
sicurezza ,增大安全距离
simbolo ,符号
sincronizzare ,实行
sintomo ,症状
situazioni ,情况
smontare ,拆下
sollecitare ,催促
soma sella,马车马匹
soprattutto ,尤其
sorpassare ,超车
sorpasso ,超车
sospensione ,悬挂终止
sosta ,停车表示车是完全停了
sostenuto ,持续的稍慢的
sostituzione ,替换
sosto fermata,停车和是两样的
sottoporre ,呈交
specializzata ,专门特殊
spigolo ,刀刃
spinta ,推
sporche ,脏
spostare ,移动
spratitraffico ,分道施工
sprovvisto ,缺乏
stabilita ,稳定
statico ,坚固
sterzo ,方向盘
strettoia ,道路的窄口
stretto ,狭窄
successivamente ,以后
successivi ,连续
suddivisa ,分隔
sufficiente ,充足
superando ,超越
superficie ,表面面积
svolta ,转转弯
svoltare ,转向
svuotare ,打开流出
tachimetro ,里程计
tandem ,双坐的自行车
targa ,车牌
tecnico ,技术员
tenuta di strada,车辆的稳定性
tenuto ,必须
tergicristallo ,雨雪刷
tetto ,车顶
tramite ,通过途径
transitare ,通行
trasporto ,搬运
trattenere ,限制
trattura ,断裂
Triangolo ,三角形
trovare ,位于
tubeless ,无内胎
un isola di traffico,安全岛
usato ,使用
uscita ,出口出去
usino ,使用
usurato ,磨损
utillizare ,使用
vale ,有效
valicare ,通过
validita ,有效
valutare ,估计
veicoli ,汽车
velocita ,速度
verifica ,确认确实
vetro ,玻璃
viadotto ,高架桥
viale vialepedonale,大街步行街
vietato ,禁止
vietino ,禁止
violare ,违法
visuale ,视觉
volante ,方向盘
zona ,地区
